COUNTYNS,State,NAME,B01001_001E,B01001_calc_PopDensity
1245666,SC,Abbeville County,24657,19.37240492
1480091,VA,Accomack County,32742,28.13596811
395066,ID,Ada County,446052,163.7075373
1101788,OK,Adair County,22113,14.8826669
765805,MO,Adair County,25325,17.23537089
516847,KY,Adair County,19241,18.33015572
465190,IA,Adair County,7124,4.831782244
1581060,WI,Adams County,20073,12.00365698
1531601,WA,Adams County,19452,3.901559352
1213656,PA,Adams County,102023,75.93345667
1074014,OH,Adams County,27878,18.43528327
1034210,ND,Adams County,2351,0.919113298
835823,NE,Adams County,31583,21.6489608
695726,MS,Adams County,31547,26.34483607
465191,IA,Adams County,3726,3.397507664
450401,IN,Adams County,35195,40.08179351
424202,IL,Adams County,66427,29.99225904
395067,ID,Adams County,4019,1.138640153
198116,CO,Adams County,497115,164.5753082
1461757,VT,Addison County,36939,18.61112733
1247979,SC,Aiken County,166926,60.19984103
663198,MN,Aitkin County,15834,3.355774681
308548,FL,Alachua County,263148,116.1122104
1008531,NC,Alamance County,160576,146.4195117
1675839,CA,Alameda County,1643700,860.7570749
198117,CO,Alamosa County,16444,8.78669511
1605066,WY,Albany County,38102,3.441773464
974099,NY,Albany County,307426,227.0299683
1675170,VA,Albemarle County,106355,56.99600947
1622943,MI,Alcona County,10364,5.931269853
711755,MS,Alcorn County,37180,35.88420614
1008532,NC,Alexander County,37119,55.12519437
424203,IL,Alexander County,6532,10.7082503
1101789,OK,Alfalfa County,5857,2.609946132
1622944,MI,Alger County,9194,3.879446925
465192,IA,Allamakee County,13880,8.386120959
1622945,MI,Allegan County,115250,53.92102964
1713506,MD,Allegany County,71977,65.82512308
974100,NY,Allegany County,47025,17.63858838
1673675,VA,Alleghany County,15286,13.21622297
1008533,NC,Alleghany County,10973,18.07442269
1213657,PA,Allegheny County,1225561,648.1038604
1074015,OH,Allen County,103642,99.41870485
516848,KY,Allen County,20794,23.31589108
484970,KS,Allen County,12630,9.747146923
450402,IN,Allen County,370016,217.3430355
1247980,SC,Allendale County,9214,8.717537594
1622946,MI,Alpena County,28612,19.31776341
1675840,CA,Alpine County,1146,0.599280666
1675841,CA,Amador County,37829,24.56534526
1497770,VA,Amelia County,12854,13.96955997
1480095,VA,Amherst County,31882,25.97196021
695727,MS,Amite County,12468,6.593508175
1639722,TN,Anderson County,75775,86.76335586
1383786,TX,Anderson County,57863,21.02428029
1247981,SC,Anderson County,195995,106.0081343
516849,KY,Anderson County,22214,42.43425602
484971,KS,Anderson County,7852,5.230212046
758456,MO,Andrew County,17403,15.5313136
1383787,TX,Andrews County,17818,4.584174535
581286,ME,Androscoggin County,107444,88.65336766
1383788,TX,Angelina County,87607,42.39912091
1710958,MD,Anne Arundel County,567696,528.4397218
659447,MN,Anoka County,347431,317.8925949
1008534,NC,Anson County,25306,18.38460003
835824,NE,Antelope County,6372,2.869970753
1622947,MI,Antrim County,23177,18.81251469
25441,AZ,Apache County,71522,2.466163547
465193,IA,Appanoose County,12510,9.71289233
349113,GA,Appling County,18454,14.01828756
1497238,VA,Appomattox County,15577,17.99514229
1383789,TX,Aransas County,24763,37.93324765
198118,CO,Arapahoe County,636671,308.0717154
1383790,TX,Archer County,8789,3.756773403
198119,CO,Archuleta County,12908,3.691471259
1622948,MI,Arenac County,15165,16.12227532
63755,AR,Arkansas County,18124,7.077235454
1480097,VA,Arlington County,231803,3442.635855
1383791,TX,Armstrong County,1916,0.813732656
1213658,PA,Armstrong County,66331,39.20909708
581287,ME,Aroostook County,68269,3.951100932
835825,NE,Arthur County,418,0.225609394
1008535,NC,Ashe County,26786,24.3309623
1581061,WI,Ashland County,15712,5.805334489
1074016,OH,Ashland County,53477,48.81671864
63756,AR,Ashley County,20537,8.568999577
1074017,OH,Ashtabula County,98136,53.96951051
1533502,WA,Asotin County,22337,13.55857989
1383792,TX,Atascosa County,48828,15.45876401
758457,MO,Atchison County,5270,3.717911062
484972,KS,Atchison County,16363,14.65251573
1074018,OH,Athens County,65936,50.54941896
345784,GA,Atkinson County,8265,9.311240898
882270,NJ,Atlantic County,268539,186.6445126
1101790,OK,Atoka County,13874,5.491211135
695728,MS,Attala County,18581,9.761341766
758458,MO,Audrain County,25735,14.35392985
465194,IA,Audubon County,5637,4.913426442
1074019,OH,Auglaize County,45784,44.03976778
1480098,VA,Augusta County,74701,29.82422931
1266983,SD,Aurora County,2759,1.503621827
1383793,TX,Austin County,29565,17.65700997
161526,AL,Autauga County,55200,35.85341899
1008536,NC,Avery County,17501,27.31960936
198120,CO,Baca County,3563,0.538428946
344784,GA,Bacon County,11228,15.26007768
1383794,TX,Bailey County,7092,3.311160591
1135845,OR,Baker County,15984,2.011578964
342832,GA,Baker County,3189,3.600682675
306920,FL,Baker County,27785,18.33099273
345255,GA,Baldwin County,45286,67.58826619
161527,AL,Baldwin County,208107,50.54150356
516850,KY,Ballard County,8090,12.65273497
1695314,MD,Baltimore County,827625,534.0413784
1247982,SC,Bamberg County,14600,14.33037251
1383795,TX,Bandera County,21763,10.62300586
349230,GA,Banks County,18510,30.7975219
835826,NE,Banner County,696,0.360122313
395091,ID,Bannock County,85065,29.5228912
1622949,MI,Baraga County,8507,3.655915256
484973,KS,Barber County,4733,1.611380319
