FIPS_code,Stabr,Area_name,POVALL_2020,PCTPOVALL_2020
00000,US,United States,"38,371,394",11.9
01000,AL,Alabama,"714,568",14.9
01001,AL,Autauga County,"6,242",11.2
01003,AL,Baldwin County,"20,189",8.9
01005,AL,Barbour County,"5,548",25.5
01007,AL,Bibb County,"3,549",17.8
01009,AL,Blount County,"7,525",13.1
01011,AL,Bullock County,"2,552",30.8
01013,AL,Butler County,"3,954",20.6
01015,AL,Calhoun County,"15,915",14.5
01017,AL,Chambers County,"5,266",16.3
01019,AL,Cherokee County,"3,827",14.7
01021,AL,Chilton County,"6,094",13.9
01023,AL,Choctaw County,"2,506",20.4
01025,AL,Clarke County,"4,471",19.5
01027,AL,Clay County,"1,818",14.2
01029,AL,Cleburne County,"2,099",14.2
01031,AL,Coffee County,"7,303",13.9
01033,AL,Colbert County,"7,864",14.4
01035,AL,Conecuh County,"2,701",22.9
01037,AL,Coosa County,"1,808",17.4
01039,AL,Covington County,"6,219",17.1
01041,AL,Crenshaw County,"2,262",16.8
01043,AL,Cullman County,"10,381",12.5
01045,AL,Dale County,"7,440",15.5
01047,AL,Dallas County,"9,471",26.7
01049,AL,DeKalb County,"10,778",15.2
01051,AL,Elmore County,"8,972",11.5
01053,AL,Escambia County,"6,892",20.4
01055,AL,Etowah County,"15,650",15.6
01057,AL,Fayette County,"2,640",16.5
01059,AL,Franklin County,"5,357",17.2
01061,AL,Geneva County,"5,492",21.0
01063,AL,Greene County,"2,210",27.9
01065,AL,Hale County,"3,166",21.9
01067,AL,Henry County,"2,743",16.2
01069,AL,Houston County,"15,534",14.8
01071,AL,Jackson County,"7,777",15.3
01073,AL,Jefferson County,"92,310",14.4
01075,AL,Lamar County,"2,348",17.4
01077,AL,Lauderdale County,"12,630",13.9
01079,AL,Lawrence County,"5,005",15.4
01081,AL,Lee County,"28,901",17.9
01083,AL,Limestone County,"10,285",10.4
01085,AL,Lowndes County,"2,083",21.9
01087,AL,Macon County,"4,543",27.9
01089,AL,Madison County,"39,100",10.5
01091,AL,Marengo County,"3,370",18.3
01093,AL,Marion County,"4,843",16.8
01095,AL,Marshall County,"14,754",15.4
01097,AL,Mobile County,"71,398",17.6
01099,AL,Monroe County,"4,552",22.5
01101,AL,Montgomery County,"44,058",20.4
01103,AL,Morgan County,"16,995",14.4
01105,AL,Perry County,"2,443",30.7
