FIPS_code,Area_name,Population,PopDensity
161526,Autauga County,55200,35.85341899
161527,Baldwin County,208107,50.54150356
161528,Barbour County,25782,11.24798121
161529,Bibb County,22527,13.973114
161530,Blount County,57645,34.51581642
161531,Bullock County,10352,6.41761955
161532,Butler County,20025,9.952770785
161533,Calhoun County,115098,73.348688
161534,Chambers County,33826,21.89263808
161535,Cherokee County,25853,18.0333283
161536,Chilton County,43930,24.48066939
161537,Choctaw County,13075,5.526508604
161538,Clarke County,24387,7.603131652
161539,Clay County,13378,8.552331345
161540,Cleburne County,14938,10.29735391
161541,Coffee County,51288,29.16467291
161542,Colbert County,54495,35.49694998
161543,Conecuh County,12514,5.682995171
161544,Coosa County,10855,6.438885282
161545,Covington County,37351,13.99370346
161546,Crenshaw County,13865,8.792273306
161547,Cullman County,82313,43.25267563
161548,Dale County,49255,33.89312549
161549,Dallas County,40029,15.79103338
161550,DeKalb County,71200,35.37577983
161551,Elmore County,81212,50.70144021
161552,Escambia County,37328,15.24764898
161553,Etowah County,102939,74.25054812
161554,Fayette County,16585,10.20180135
161555,Franklin County,31542,19.21135615
161556,Geneva County,26491,17.80431585
161557,Greene County,8426,5.028100131
161558,Hale County,14887,8.925557001
161559,Henry County,17124,11.76966574
161560,Houston County,104352,69.48209266
161561,Jackson County,52094,18.65848284
161562,Jefferson County,659892,229.2513381
161563,Lamar County,13933,8.894097028
161564,Lauderdale County,92585,53.51282236
161565,Lawrence County,33171,18.54305046
161566,Lee County,159287,101.2278644
161567,Limestone County,93052,64.16149688
161568,Lowndes County,10236,5.520435979
161569,Macon County,19054,12.08354055
161570,Madison County,357560,172.2275
161572,Marengo County,19538,7.722101608
161573,Marion County,29965,15.58520673
161574,Marshall County,95145,64.92182299
161575,Mobile County,414659,130.2299289
161576,Monroe County,21512,8.097965626
161577,Montgomery County,226941,111.5782173
161578,Morgan County,119122,79.38223066
161579,Perry County,9486,5.089327131
161580,Pickens County,20298,8.891346444
161581,Pike County,33403,19.18998514
161582,Randolph County,22574,15.0131423
161583,Russell County,58213,35.05587426
164997,St. Clair County,87306,53.370584
161584,Shelby County,211261,103.8590388
161585,Sumter County,12985,5.547014404
161586,Talladega County,80565,42.21915736
161587,Tallapoosa County,40636,21.89695846
161588,Tuscaloosa County,206213,60.27841134
161589,Walker County,64493,31.4801768
161590,Washington County,16643,5.948771806
161591,Wilcox County,10809,4.69736954
161592,Winston County,23875,15.03833828
1419964,Aleutians East Borough,3425,0.189317984
1419965,Aleutians West Census Area,5750,0.505471803
1416061,Anchorage Municipality,296112,67.00029188
1419966,Bethel Census Area,18040,0.171435929
1419967,Bristol Bay Borough,890,0.712955928
1419988,Denali Borough,2232,0.068195198
1419968,Dillingham Census Area,4975,0.104785322
1419969,Fairbanks North Star Borough,99653,5.249490983
1419970,Haines Borough,2518,0.415544894
2371430,Hoonah-Angoon Census Area,2132,0.125547899
1419971,Juneau City and Borough,32330,4.616610188
1419972,Kenai Peninsula Borough,58220,1.402885307
1419973,Ketchikan Gateway Borough,13804,1.097363264
1419974,Kodiak Island Borough,13649,0.796616254
1419985,Kusilvak Census Area,8198,0.185386083
1419975,Lake and Peninsula Borough,1375,0.022215413
1419976,Matanuska-Susitna Borough,103464,1.616412301
1419977,Nome Census Area,9925,0.16681479
1419978,North Slope Borough,9797,0.042585631
1419979,Northwest Arctic Borough,7734,0.083765592
2516404,Petersburg Borough,3255,0.433274538
1419980,Prince of Wales-Hyder Census Area,6474,0.4749637
1419981,Sitka City and Borough,8738,1.175520142
2339479,Skagway Municipality,1061,0.944050025
1419983,Southeast Fairbanks Census Area,6876,0.106951727
1419984,Valdez-Cordova Census Area,9301,0.104936773
2516402,Wrangell City and Borough,2484,0.375226755
1419986,Yakutat City and Borough,689,0.034896325
1419987,Yukon-Koyukuk Census Area,5415,0.014362075
25441,Apache County,71522,2.466163547
25442,Cochise County,126279,7.909160031
25443,Coconino County,140217,2.907730578
40471,Gila County,53400,4.333306678
25444,Graham County,37879,3.163771078
42807,Greenlee County,9504,1.992160031
43540,La Paz County,20701,1.776302238
37026,Maricopa County,4253913,178.541174
25445,Mohave County,206064,5.977113496
42808,Navajo County,108705,4.218261644
25446,Pima County,1019722,42.8548311
25447,Pinal County,419721,30.20127807
40472,Santa Cruz County,46584,14.54108112
42809,Yavapai County,224645,10.67714706
23901,Yuma County,207829,14.55270217
63755,Arkansas County,18124,7.077235454
63756,Ashley County,20537,8.568999577
69895,Baxter County,41219,28.71527107
69896,Benton County,258980,117.9774558
69897,Boone County,37288,24.40204536
63757,Bradley County,10948,6.510797369
63758,Calhoun County,5202,3.195379922
66975,Carroll County,27887,17.09180309
69160,Chicot County,10826,6.48720534
66845,Clark County,22385,9.979357949
63759,Clay County,15061,9.093629023
66983,Cleburne County,25230,17.5920795
63760,Cleveland County,8226,5.313083763
63761,Columbia County,23892,12.04300901
