FIPS_code,Stabr,Area_name,POVALL_2020
00000,US,United States,"38,371,394"
01000,AL,Alabama,"714,568"
01001,AL,Autauga County,"6,242"
01003,AL,Baldwin County,"20,189"
01005,AL,Barbour County,"5,548"
01007,AL,Bibb County,"3,549"
01009,AL,Blount County,"7,525"
01011,AL,Bullock County,"2,552"
01013,AL,Butler County,"3,954"
01015,AL,Calhoun County,"15,915"
01017,AL,Chambers County,"5,266"
01019,AL,Cherokee County,"3,827"
01021,AL,Chilton County,"6,094"
01023,AL,Choctaw County,"2,506"
01025,AL,Clarke County,"4,471"
01027,AL,Clay County,"1,818"
01029,AL,Cleburne County,"2,099"
01031,AL,Coffee County,"7,303"
01033,AL,Colbert County,"7,864"
01035,AL,Conecuh County,"2,701"
01037,AL,Coosa County,"1,808"
01039,AL,Covington County,"6,219"
01041,AL,Crenshaw County,"2,262"
01043,AL,Cullman County,"10,381"
01045,AL,Dale County,"7,440"
01047,AL,Dallas County,"9,471"
01049,AL,DeKalb County,"10,778"
01051,AL,Elmore County,"8,972"
01053,AL,Escambia County,"6,892"
01055,AL,Etowah County,"15,650"
01057,AL,Fayette County,"2,640"
01059,AL,Franklin County,"5,357"
01061,AL,Geneva County,"5,492"
01063,AL,Greene County,"2,210"
01065,AL,Hale County,"3,166"
01067,AL,Henry County,"2,743"
01069,AL,Houston County,"15,534"
01071,AL,Jackson County,"7,777"
01073,AL,Jefferson County,"92,310"
01075,AL,Lamar County,"2,348"
01077,AL,Lauderdale County,"12,630"
01079,AL,Lawrence County,"5,005"
01081,AL,Lee County,"28,901"
01083,AL,Limestone County,"10,285"
01085,AL,Lowndes County,"2,083"
01087,AL,Macon County,"4,543"
01089,AL,Madison County,"39,100"
01091,AL,Marengo County,"3,370"
01093,AL,Marion County,"4,843"
01095,AL,Marshall County,"14,754"
01097,AL,Mobile County,"71,398"
01099,AL,Monroe County,"4,552"
01101,AL,Montgomery County,"44,058"
01103,AL,Morgan County,"16,995"
01105,AL,Perry County,"2,443"
01107,AL,Pickens County,"4,050"
01109,AL,Pike County,"6,101"
01111,AL,Randolph County,"3,933"
01113,AL,Russell County,"11,702"
01115,AL,St. Clair County,"9,384"
01117,AL,Shelby County,"15,227"
01119,AL,Sumter County,"3,338"
01121,AL,Talladega County,"12,958"
01123,AL,Tallapoosa County,"6,004"
01125,AL,Tuscaloosa County,"28,776"
01127,AL,Walker County,"10,219"
01129,AL,Washington County,"2,769"
01131,AL,Wilcox County,"2,240"
01133,AL,Winston County,"4,036"
02000,AK,Alaska,"68,714"
02013,AK,Aleutians East Borough,514
02016,AK,Aleutians West Census Area,443
02020,AK,Anchorage Borough,"23,200"
02050,AK,Bethel Census Area,"4,567"
02060,AK,Bristol Bay Borough,82
02063,AK,Chugach Census Area,441
02066,AK,Copper River Census Area,368
02068,AK,Denali Borough,127
02070,AK,Dillingham Census Area,894
02090,AK,Fairbanks North Star Borough,"6,565"
02100,AK,Haines Borough,251
02105,AK,Hoonah-Angoon Census Area,271
02110,AK,Juneau Borough,"2,510"
02122,AK,Kenai Peninsula Borough,"6,171"
02130,AK,Ketchikan Gateway Borough,"1,127"
02150,AK,Kodiak Island Borough,957
02158,AK,Kusilvak Census Area,"2,305"
02164,AK,Lake and Peninsula Borough,261
02170,AK,Matanuska-Susitna Borough,"9,365"
02180,AK,Nome Census Area,"1,825"
02185,AK,North Slope Borough,"1,025"
02188,AK,Northwest Arctic Borough,"1,397"
02195,AK,Petersburg Borough,242
02198,AK,Prince of Wales-Hyder Census Area,975
02220,AK,Sitka Borough,609
02230,AK,Skagway Municipality,45
02240,AK,Southeast Fairbanks Census Area,805
02275,AK,Wrangell City and Borough,264
02282,AK,Yakutat Borough,79
02290,AK,Yukon-Koyukuk Census Area,"1,029"
04000,AZ,Arizona,"932,555"
04001,AZ,Apache County,"22,939"
04003,AZ,Cochise County,"17,815"
04005,AZ,Coconino County,"22,540"
04007,AZ,Gila County,"8,911"
04009,AZ,Graham County,"5,523"
04011,AZ,Greenlee County,776
04012,AZ,La Paz County,"4,405"
04013,AZ,Maricopa County,"520,797"
04015,AZ,Mohave County,"32,550"
04017,AZ,Navajo County,"25,532"
04019,AZ,Pima County,"154,790"
04021,AZ,Pinal County,"50,810"
04023,AZ,Santa Cruz County,"7,810"
04025,AZ,Yavapai County,"25,610"
04027,AZ,Yuma County,"31,745"
05000,AR,Arkansas,"448,665"
05001,AR,Arkansas County,"2,940"
05003,AR,Ashley County,"3,279"
05005,AR,Baxter County,"6,013"
05007,AR,Benton County,"25,970"
05009,AR,Boone County,"5,255"
05011,AR,Bradley County,"2,156"
05013,AR,Calhoun County,798
05015,AR,Carroll County,"3,935"
05017,AR,Chicot County,"2,467"
05019,AR,Clark County,"3,830"
05021,AR,Clay County,"2,577"
05023,AR,Cleburne County,"3,563"
05025,AR,Cleveland County,"1,086"
05027,AR,Columbia County,"3,857"
05029,AR,Conway County,"3,273"
05031,AR,Craighead County,"18,130"
05033,AR,Crawford County,"9,012"
05035,AR,Crittenden County,"10,671"
05037,AR,Cross County,"3,357"
05039,AR,Dallas County,"1,244"
05041,AR,Desha County,"2,507"
05043,AR,Drew County,"3,152"
05045,AR,Faulkner County,"14,653"
05047,AR,Franklin County,"2,692"
05049,AR,Fulton County,"2,077"
05051,AR,Garland County,"15,359"
05053,AR,Grant County,"1,809"
05055,AR,Greene County,"7,696"
05057,AR,Hempstead County,"3,914"
05059,AR,Hot Spring County,"4,709"
05061,AR,Howard County,"2,150"
05063,AR,Independence County,"5,499"
05065,AR,Izard County,"2,539"
05067,AR,Jackson County,"3,344"
05069,AR,Jefferson County,"11,303"
05071,AR,Johnson County,"4,465"
05073,AR,Lafayette County,"1,289"
05075,AR,Lawrence County,"3,006"
05077,AR,Lee County,"2,527"
05079,AR,Lincoln County,"2,223"
05081,AR,Little River County,"1,943"
05083,AR,Logan County,"3,308"
05085,AR,Lonoke County,"7,974"
05087,AR,Madison County,"2,797"
05089,AR,Marion County,"3,165"
05091,AR,Miller County,"8,050"
05093,AR,Mississippi County,"8,235"
05095,AR,Monroe County,"1,543"
05097,AR,Montgomery County,"1,666"
05099,AR,Nevada County,"1,512"
05101,AR,Newton County,"1,406"
05103,AR,Ouachita County,"4,669"
05105,AR,Perry County,"1,506"
05107,AR,Phillips County,"3,767"
05109,AR,Pike County,"1,932"
05111,AR,Poinsett County,"4,857"
05113,AR,Polk County,"3,538"
05115,AR,Pope County,"8,552"
05117,AR,Prairie County,"1,137"
05119,AR,Pulaski County,"59,031"
05121,AR,Randolph County,"2,912"
05123,AR,St. Francis County,"6,199"
05125,AR,Saline County,"10,057"
05127,AR,Scott County,"1,756"
05129,AR,Searcy County,"1,732"
05131,AR,Sebastian County,"21,137"
05133,AR,Sevier County,"2,755"
05135,AR,Sharp County,"3,110"
05137,AR,Stone County,"2,513"
05139,AR,Union County,"6,381"
05141,AR,Van Buren County,"2,674"
05143,AR,Washington County,"30,994"
05145,AR,White County,"11,176"
05147,AR,Woodruff County,"1,386"
05149,AR,Yell County,"2,971"
06000,CA,California,"4,419,167"
06001,CA,Alameda County,"139,636"
06003,CA,Alpine County,159
06005,CA,Amador County,"3,678"
06007,CA,Butte County,"35,963"
06009,CA,Calaveras County,"5,310"
06011,CA,Colusa County,"2,200"
06013,CA,Contra Costa County,"82,136"
06015,CA,Del Norte County,"4,604"
06017,CA,El Dorado County,"15,992"
06019,CA,Fresno County,"168,153"
06021,CA,Glenn County,"3,470"
06023,CA,Humboldt County,"20,847"
06025,CA,Imperial County,"31,134"
06027,CA,Inyo County,"1,940"
06029,CA,Kern County,"159,609"
06031,CA,Kings County,"19,874"
06033,CA,Lake County,"10,131"
06035,CA,Lassen County,"3,555"
06037,CA,Los Angeles County,"1,289,368"
06039,CA,Madera County,"21,211"
06041,CA,Marin County,"15,119"
06043,CA,Mariposa County,"2,258"
06045,CA,Mendocino County,"12,099"
06047,CA,Merced County,"44,302"
06049,CA,Modoc County,"1,529"
06051,CA,Mono County,"1,285"
06053,CA,Monterey County,"47,870"
06055,CA,Napa County,"10,356"
06057,CA,Nevada County,"9,040"
06059,CA,Orange County,"280,128"
06061,CA,Placer County,"25,815"
06063,CA,Plumas County,"2,509"
06065,CA,Riverside County,"275,176"
06067,CA,Sacramento County,"192,386"
06069,CA,San Benito County,"5,025"
06071,CA,San Bernardino County,"308,021"
06073,CA,San Diego County,"306,807"
06075,CA,San Francisco County,"85,356"
06077,CA,San Joaquin County,"104,295"
06079,CA,San Luis Obispo County,"28,338"
06081,CA,San Mateo County,"41,158"
06083,CA,Santa Barbara County,"44,777"
06085,CA,Santa Clara County,"123,516"
06087,CA,Santa Cruz County,"27,524"
06089,CA,Shasta County,"24,570"
06091,CA,Sierra County,331
06093,CA,Siskiyou County,"6,086"
06095,CA,Solano County,"40,283"
06097,CA,Sonoma County,"37,609"
06099,CA,Stanislaus County,"70,568"
06101,CA,Sutter County,"10,984"
06103,CA,Tehama County,"8,467"
06105,CA,Trinity County,"2,162"
06107,CA,Tulare County,"79,348"
06109,CA,Tuolumne County,"6,158"
06111,CA,Ventura County,"75,060"
06113,CA,Yolo County,"31,066"
06115,CA,Yuba County,"12,816"
08000,CO,Colorado,"511,346"
08001,CO,Adams County,"48,180"
08003,CO,Alamosa County,"2,563"
08005,CO,Arapahoe County,"45,760"
08007,CO,Archuleta County,"1,319"
08009,CO,Baca County,585
08011,CO,Bent County,"1,033"
08013,CO,Boulder County,"30,205"
08014,CO,Broomfield County,"2,983"
08015,CO,Chaffee County,"1,844"
08017,CO,Cheyenne County,214
08019,CO,Clear Creek County,695
08021,CO,Conejos County,"1,422"
08023,CO,Costilla County,854
08025,CO,Crowley County,"1,118"
08027,CO,Custer County,611
08029,CO,Delta County,"3,690"
08031,CO,Denver County,"89,598"
08033,CO,Dolores County,262
08035,CO,Douglas County,"10,942"
08037,CO,Eagle County,"3,517"
08039,CO,Elbert County,"1,304"
08041,CO,El Paso County,"64,656"
08043,CO,Fremont County,"6,083"
08045,CO,Garfield County,"3,965"
08047,CO,Gilpin County,408
08049,CO,Grand County,"1,071"
08051,CO,Gunnison County,"1,595"
08053,CO,Hinsdale County,58
08055,CO,Huerfano County,"1,337"
08057,CO,Jackson County,161
08059,CO,Jefferson County,"34,963"
08061,CO,Kiowa County,173
08063,CO,Kit Carson County,764
08065,CO,Lake County,831
08067,CO,La Plata County,"5,447"
08069,CO,Larimer County,"34,579"
08071,CO,Las Animas County,"2,245"
08073,CO,Lincoln County,727
08075,CO,Logan County,"2,420"
08077,CO,Mesa County,"16,752"
08079,CO,Mineral County,67
08081,CO,Moffat County,"1,290"
08083,CO,Montezuma County,"3,374"
08085,CO,Montrose County,"4,477"
08087,CO,Morgan County,"2,969"
08089,CO,Otero County,"3,116"
08091,CO,Ouray County,333
08093,CO,Park County,"1,476"
08095,CO,Phillips County,440
08097,CO,Pitkin County,"1,136"
08099,CO,Prowers County,"1,910"
08101,CO,Pueblo County,"23,367"
08103,CO,Rio Blanco County,597
08105,CO,Rio Grande County,"1,475"
08107,CO,Routt County,"1,595"
08109,CO,Saguache County,"1,284"
08111,CO,San Juan County,84
08113,CO,San Miguel County,611
08115,CO,Sedgwick County,294
08117,CO,Summit County,"1,866"
08119,CO,Teller County,"1,856"
08121,CO,Washington County,551
08123,CO,Weld County,"29,123"
08125,CO,Yuma County,"1,124"
09000,CT,Connecticut,"333,435"
09001,CT,Fairfield County,"81,309"
09003,CT,Hartford County,"92,518"
09005,CT,Litchfield County,"13,160"
09007,CT,Middlesex County,"12,020"
09009,CT,New Haven County,"92,869"
09011,CT,New London County,"20,478"
09013,CT,Tolland County,"9,362"
09015,CT,Windham County,"11,719"
10000,DE,Delaware,"104,400"
10001,DE,Kent County,"23,168"
10003,DE,New Castle County,"55,026"
10005,DE,Sussex County,"26,206"
11000,DC,District of Columbia,"101,959"
11001,DC,District of Columbia,"101,959"
12000,FL,Florida,"2,642,642"
12001,FL,Alachua County,"44,315"
12003,FL,Baker County,"3,416"
12005,FL,Bay County,"20,719"
12007,FL,Bradford County,"4,242"
12009,FL,Brevard County,"59,282"
12011,FL,Broward County,"214,119"
12013,FL,Calhoun County,"2,512"
12015,FL,Charlotte County,"18,781"
12017,FL,Citrus County,"18,933"
12019,FL,Clay County,"19,482"
12021,FL,Collier County,"39,254"
12023,FL,Columbia County,"10,444"
12027,FL,DeSoto County,"7,387"
12029,FL,Dixie County,"3,538"
12031,FL,Duval County,"143,438"
12033,FL,Escambia County,"41,047"
12035,FL,Flagler County,"11,058"
12037,FL,Franklin County,"1,998"
12039,FL,Gadsden County,"9,356"
12041,FL,Gilchrist County,"2,555"
12043,FL,Glades County,"2,302"
12045,FL,Gulf County,"1,977"
12047,FL,Hamilton County,"2,846"
12049,FL,Hardee County,"5,373"
12051,FL,Hendry County,"9,651"
12053,FL,Hernando County,"24,571"
12055,FL,Highlands County,"16,905"
12057,FL,Hillsborough County,"175,650"
12059,FL,Holmes County,"3,651"
12061,FL,Indian River County,"13,959"
12063,FL,Jackson County,"7,738"
12065,FL,Jefferson County,"2,281"
12067,FL,Lafayette County,"1,494"
12069,FL,Lake County,"34,282"
