FIPS_code,State,Area_name,Median_Household_Income_2020
00000,US,United States,"67,340"
01000,AL,Alabama,"53,958"
01001,AL,"Autauga County, AL","67,565"
01003,AL,"Baldwin County, AL","71,135"
01005,AL,"Barbour County, AL","38,866"
01007,AL,"Bibb County, AL","50,907"
01009,AL,"Blount County, AL","55,203"
01011,AL,"Bullock County, AL","33,124"
01013,AL,"Butler County, AL","42,268"
01015,AL,"Calhoun County, AL","50,259"
01017,AL,"Chambers County, AL","39,318"
01019,AL,"Cherokee County, AL","50,388"
01021,AL,"Chilton County, AL","52,693"
01023,AL,"Choctaw County, AL","41,649"
01025,AL,"Clarke County, AL","44,178"
01027,AL,"Clay County, AL","44,763"
01029,AL,"Cleburne County, AL","50,134"
01031,AL,"Coffee County, AL","54,203"
01033,AL,"Colbert County, AL","54,185"
01035,AL,"Conecuh County, AL","34,664"
01037,AL,"Coosa County, AL","46,509"
01039,AL,"Covington County, AL","43,544"
01041,AL,"Crenshaw County, AL","45,927"
01043,AL,"Cullman County, AL","51,844"
01045,AL,"Dale County, AL","48,493"
01047,AL,"Dallas County, AL","37,679"
01049,AL,"DeKalb County, AL","47,156"
01051,AL,"Elmore County, AL","62,524"
01053,AL,"Escambia County, AL","41,212"
01055,AL,"Etowah County, AL","47,872"
01057,AL,"Fayette County, AL","45,937"
01059,AL,"Franklin County, AL","40,448"
01061,AL,"Geneva County, AL","39,882"
01063,AL,"Greene County, AL","33,609"
01065,AL,"Hale County, AL","41,836"
01067,AL,"Henry County, AL","51,126"
01069,AL,"Houston County, AL","54,391"
01071,AL,"Jackson County, AL","46,606"
01073,AL,"Jefferson County, AL","57,802"
01075,AL,"Lamar County, AL","40,204"
01077,AL,"Lauderdale County, AL","52,293"
01079,AL,"Lawrence County, AL","48,924"
01081,AL,"Lee County, AL","58,963"
01083,AL,"Limestone County, AL","70,850"
01085,AL,"Lowndes County, AL","37,499"
01087,AL,"Macon County, AL","37,736"
01089,AL,"Madison County, AL","67,810"
01091,AL,"Marengo County, AL","43,198"
01093,AL,"Marion County, AL","44,333"
01095,AL,"Marshall County, AL","51,417"
01097,AL,"Mobile County, AL","50,871"
01099,AL,"Monroe County, AL","38,812"
01101,AL,"Montgomery County, AL","49,607"
01103,AL,"Morgan County, AL","55,688"
01105,AL,"Perry County, AL","33,712"
01107,AL,"Pickens County, AL","41,870"
01109,AL,"Pike County, AL","43,141"
01111,AL,"Randolph County, AL","46,679"
01113,AL,"Russell County, AL","40,821"
01115,AL,"St. Clair County, AL","61,973"
01117,AL,"Shelby County, AL","88,444"
01119,AL,"Sumter County, AL","32,275"
01121,AL,"Talladega County, AL","44,802"
01123,AL,"Tallapoosa County, AL","46,654"
01125,AL,"Tuscaloosa County, AL","56,610"
01127,AL,"Walker County, AL","46,519"
01129,AL,"Washington County, AL","36,346"
01131,AL,"Wilcox County, AL","31,909"
01133,AL,"Winston County, AL","46,453"
02000,AK,Alaska,"79,961"
02013,AK,"Aleutians East Borough, AK","79,128"
02016,AK,"Aleutians West Census Area, AK","92,216"
02020,AK,"Anchorage Borough/municipality, AK","84,577"
02050,AK,"Bethel Census Area, AK","52,214"
02060,AK,"Bristol Bay Borough, AK","87,032"
02063,AK,"Chugach Census Area, AK","84,063"
02066,AK,"Copper River Census Area, AK","61,215"
02068,AK,"Denali Borough, AK","80,192"
02070,AK,"Dillingham Census Area, AK","72,334"
02090,AK,"Fairbanks North Star Borough, AK","76,650"
02100,AK,"Haines Borough, AK","105,044"
02105,AK,"Hoonah-Angoon Census Area, AK","55,593"
02110,AK,"Juneau Borough/city, AK","89,204"
02122,AK,"Kenai Peninsula Borough, AK","68,448"
02130,AK,"Ketchikan Gateway Borough, AK","76,780"
