FIPS_code,State,COUNTY,County,Median_Household_Income_2020,Unemployment_rate_2021,Unemployment_rate_2014
1000,AL,ALABAMA,Alabama,"53,958",3.4,6.2
1001,AL,"AUTAUGA COUNTY, AL","Autauga County, AL","67,565",2.8,6.7
1003,AL,"BALDWIN COUNTY, AL","Baldwin County, AL","71,135",3,5.8
1005,AL,"BARBOUR COUNTY, AL","Barbour County, AL","38,866",5.7,6.1
1007,AL,"BIBB COUNTY, AL","Bibb County, AL","50,907",3.5,10.5
1009,AL,"BLOUNT COUNTY, AL","Blount County, AL","55,203",2.4,7.2
1011,AL,"BULLOCK COUNTY, AL","Bullock County, AL","33,124",4,6.1
1013,AL,"BUTLER COUNTY, AL","Butler County, AL","42,268",5.3,8.8
1015,AL,"CALHOUN COUNTY, AL","Calhoun County, AL","50,259",4.1,8.5
1017,AL,"CHAMBERS COUNTY, AL","Chambers County, AL","39,318",3.7,7.9
1019,AL,"CHEROKEE COUNTY, AL","Cherokee County, AL","50,388",2.5,6.7
1021,AL,"CHILTON COUNTY, AL","Chilton County, AL","52,693",2.9,5.8
1023,AL,"CHOCTAW COUNTY, AL","Choctaw County, AL","41,649",4.4,6.2
1025,AL,"CLARKE COUNTY, AL","Clarke County, AL","44,178",6,9
1027,AL,"CLAY COUNTY, AL","Clay County, AL","44,763",2.7,12.1
1029,AL,"CLEBURNE COUNTY, AL","Cleburne County, AL","50,134",2.6,7.1
1031,AL,"COFFEE COUNTY, AL","Coffee County, AL","54,203",2.8,6.6
1033,AL,"COLBERT COUNTY, AL","Colbert County, AL","54,185",4,6.6
1035,AL,"CONECUH COUNTY, AL","Conecuh County, AL","34,664",4.8,8.3
1037,AL,"COOSA COUNTY, AL","Coosa County, AL","46,509",3.1,10.3
1039,AL,"COVINGTON COUNTY, AL","Covington County, AL","43,544",3,8.8
1041,AL,"CRENSHAW COUNTY, AL","Crenshaw County, AL","45,927",3.3,7.7
1043,AL,"CULLMAN COUNTY, AL","Cullman County, AL","51,844",2.4,6.9
1045,AL,"DALE COUNTY, AL","Dale County, AL","48,493",3.1,6
1047,AL,"DALLAS COUNTY, AL","Dallas County, AL","37,679",7.4,7
1049,AL,"DEKALB COUNTY, AL","DeKalb County, AL","47,156",2.5,11.2
1051,AL,"ELMORE COUNTY, AL","Elmore County, AL","62,524",2.7,6.8
1053,AL,"ESCAMBIA COUNTY, AL","Escambia County, AL","41,212",4.1,5.7
1055,AL,"ETOWAH COUNTY, AL","Etowah County, AL","47,872",4.1,8
1057,AL,"FAYETTE COUNTY, AL","Fayette County, AL","45,937",3.1,7
1059,AL,"FRANKLIN COUNTY, AL","Franklin County, AL","40,448",2.5,7.8
1061,AL,"GENEVA COUNTY, AL","Geneva County, AL","39,882",2.8,7.7
1063,AL,"GREENE COUNTY, AL","Greene County, AL","33,609",6.9,6.7
1065,AL,"HALE COUNTY, AL","Hale County, AL","41,836",5.7,12.4
1067,AL,"HENRY COUNTY, AL","Henry County, AL","51,126",3.2,9.8
1069,AL,"HOUSTON COUNTY, AL","Houston County, AL","54,391",3.4,7.5
1071,AL,"JACKSON COUNTY, AL","Jackson County, AL","46,606",2.9,6.7
1073,AL,"JEFFERSON COUNTY, AL","Jefferson County, AL","57,802",3.6,7.2
1075,AL,"LAMAR COUNTY, AL","Lamar County, AL","40,204",3,6.3
1077,AL,"LAUDERDALE COUNTY, AL","Lauderdale County, AL","52,293",3.2,6.9
1079,AL,"LAWRENCE COUNTY, AL","Lawrence County, AL","48,924",2.9,7.2
1081,AL,"LEE COUNTY, AL","Lee County, AL","58,963",2.8,8.2
1083,AL,"LIMESTONE COUNTY, AL","Limestone County, AL","70,850",2.5,5.6
1085,AL,"LOWNDES COUNTY, AL","Lowndes County, AL","37,499",9.2,6.1
1087,AL,"MACON COUNTY, AL","Macon County, AL","37,736",6,12.8
1089,AL,"MADISON COUNTY, AL","Madison County, AL","67,810",2.7,9.1
1091,AL,"MARENGO COUNTY, AL","Marengo County, AL","43,198",4.2,6.1
1093,AL,"MARION COUNTY, AL","Marion County, AL","44,333",2.8,7.9
1095,AL,"MARSHALL COUNTY, AL","Marshall County, AL","51,417",2.4,7.9
1097,AL,"MOBILE COUNTY, AL","Mobile County, AL","50,871",4.7,6.6
1099,AL,"MONROE COUNTY, AL","Monroe County, AL","38,812",5.6,7.7
1101,AL,"MONTGOMERY COUNTY, AL","Montgomery County, AL","49,607",4.9,11
1103,AL,"MORGAN COUNTY, AL","Morgan County, AL","55,688",2.6,6.8
1105,AL,"PERRY COUNTY, AL","Perry County, AL","33,712",8.3,6.6
1107,AL,"PICKENS COUNTY, AL","Pickens County, AL","41,870",4.1,12
1109,AL,"PIKE COUNTY, AL","Pike County, AL","43,141",3.2,8.1
1111,AL,"RANDOLPH COUNTY, AL","Randolph County, AL","46,679",2.7,7.3
1113,AL,"RUSSELL COUNTY, AL","Russell County, AL","40,821",3.1,6.7
1115,AL,"ST. CLAIR COUNTY, AL","St. Clair County, AL","61,973",2.6,6.5
1117,AL,"SHELBY COUNTY, AL","Shelby County, AL","88,444",2.1,5.7
1119,AL,"SUMTER COUNTY, AL","Sumter County, AL","32,275",4.5,4.5
1121,AL,"TALLADEGA COUNTY, AL","Talladega County, AL","44,802",4.1,8.4
1123,AL,"TALLAPOOSA COUNTY, AL","Tallapoosa County, AL","46,654",4,7.7
1125,AL,"TUSCALOOSA COUNTY, AL","Tuscaloosa County, AL","56,610",3.6,7.5
1127,AL,"WALKER COUNTY, AL","Walker County, AL","46,519",3.6,5.9
1129,AL,"WASHINGTON COUNTY, AL","Washington County, AL","36,346",4.7,7.9
1131,AL,"WILCOX COUNTY, AL","Wilcox County, AL","31,909",11,9.5
1133,AL,"WINSTON COUNTY, AL","Winston County, AL","46,453",2.8,16.8
2000,AK,ALASKA,Alaska,"79,961",6.4,8.6
2013,AK,"ALEUTIANS EAST BOROUGH, AK","Aleutians East Borough, AK","79,128",2.3,6.7
2016,AK,"ALEUTIANS WEST CENSUS AREA, AK","Aleutians West Census Area, AK","92,216",3.6,4.4
2020,AK,"ANCHORAGE BOROUGH/MUNICIPALITY, AK","Anchorage Borough/municipality, AK","84,577",5.8,4.7
2050,AK,"BETHEL CENSUS AREA, AK","Bethel Census Area, AK","52,214",13.1,5.1
2060,AK,"BRISTOL BAY BOROUGH, AK","Bristol Bay Borough, AK","87,032",5.6,15.8
2063,AK,"CHUGACH CENSUS AREA, AK","Chugach Census Area, AK","84,063",6.7,7.9
2066,AK,"COPPER RIVER CENSUS AREA, AK","Copper River Census Area, AK","61,215",8.9,
2068,AK,"DENALI BOROUGH, AK","Denali Borough, AK","80,192",10.1,
2070,AK,"DILLINGHAM CENSUS AREA, AK","Dillingham Census Area, AK","72,334",8.2,10.2
2090,AK,"FAIRBANKS NORTH STAR BOROUGH, AK","Fairbanks North Star Borough, AK","76,650",5,9.9
2100,AK,"HAINES BOROUGH, AK","Haines Borough, AK","105,044",11.3,5.7
